지역ID,맵,상위지역,지역명,기준,기준지역ID,몬스터1,원본좌표1,Y+10 좌표1,Y-10 좌표1,몬스터2,원본좌표2,Y+10 좌표2,Y-10 좌표2,몬스터3,원본좌표3,Y+10 좌표3,Y-10 좌표3
4329,노스렌드,줄드락,맘토스의 제단,상위지역 경계 대체,66,되살아난 시체 (29897),"5745.640, -2214.740, 237.548","5745.640, -2204.740, 237.548","5745.640, -2224.740, 237.548",산악 야생마 (26472),"5084.860, -4386.400, 281.887","5084.860, -4376.400, 281.887","5084.860, -4396.400, 281.887",굶주린 스컬지 트롤 (26570),"4530.450, -2217.350, 169.775","4530.450, -2207.350, 169.775","4530.450, -2227.350, 169.775"
4342,칠흑의 요새,동부 역병지대: 붉은십자군 초소,아케루스: 칠흑의 요새,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4343,칠흑의 요새,동부 역병지대: 붉은십자군 초소,신 아발론,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4344,칠흑의 요새,동부 역병지대: 붉은십자군 초소,신 아발론 농장,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4345,칠흑의 요새,동부 역병지대: 붉은십자군 초소,신 아발론 과수원,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4346,칠흑의 요새,동부 역병지대: 붉은십자군 초소,신 아발론 마을회관,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4347,칠흑의 요새,동부 역병지대: 붉은십자군 초소,헤이븐샤이어,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4348,칠흑의 요새,동부 역병지대: 붉은십자군 초소,헤이븐샤이어 농장,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4349,칠흑의 요새,동부 역병지대: 붉은십자군 초소,헤이븐샤이어 제재소,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4350,칠흑의 요새,동부 역병지대: 붉은십자군 초소,헤이븐샤이어 마구간,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4351,칠흑의 요새,동부 역병지대: 붉은십자군 초소,붉은십자군 요새,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4352,칠흑의 요새,동부 역병지대: 붉은십자군 초소,진홍불꽃의 예배당,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4353,칠흑의 요새,동부 역병지대: 붉은십자군 초소,빛의 거점탑,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4354,칠흑의 요새,동부 역병지대: 붉은십자군 초소,빛의 거점,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4355,칠흑의 요새,동부 역병지대: 붉은십자군 초소,기념 납골당,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4356,칠흑의 요새,동부 역병지대: 붉은십자군 초소,죽음의 틈,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4357,칠흑의 요새,동부 역병지대: 붉은십자군 초소,맹독의 숲,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4358,칠흑의 요새,동부 역병지대: 붉은십자군 초소,티르의 손 수도원,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4359,칠흑의 요새,동부 역병지대: 붉은십자군 초소,왕의 항구,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4360,칠흑의 요새,동부 역병지대: 붉은십자군 초소,붉은십자군 전망대,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4361,칠흑의 요새,동부 역병지대: 붉은십자군 초소,희망의 빛 예배당,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4362,칠흑의 요새,동부 역병지대: 붉은십자군 초소,불신자의 만용호,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4363,칠흑의 요새,동부 역병지대: 붉은십자군 초소,전염의 흉터,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4364,칠흑의 요새,동부 역병지대: 붉은십자군 초소,브라우만 밀농장,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4365,칠흑의 요새,동부 역병지대: 붉은십자군 초소,헤이븐샤이어 광산,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4366,노스렌드,회색 구릉지,우르속의 동굴,상위지역 경계 대체,394,긴뿔 순록 (26363),"3815.740, -3532.190, 248.631","3815.740, -3522.190, 248.631","3815.740, -3542.190, 248.631",서리뿔 산양 (23740),"3279.640, -4430.550, 327.579","3279.640, -4420.550, 327.579","3279.640, -4440.550, 327.579",굶주린 망자 (27290),"3505.120, -1226.770, 109.837","3505.120, -1216.770, 109.837","3505.120, -1236.770, 109.837"
4367,노스렌드,숄라자르 분지,파멸의 역병지,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4368,노스렌드,숄라자르 분지,뼈의 언덕,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4369,노스렌드,숄라자르 분지,도리안의 전초기지,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4371,노스렌드,줄드락,맘토스 분화구,상위지역 경계 대체,66,되살아난 시체 (29897),"5745.640, -2214.740, 237.548","5745.640, -2204.740, 237.548","5745.640, -2224.740, 237.548",산악 야생마 (26472),"5084.860, -4386.400, 281.887","5084.860, -4376.400, 281.887","5084.860, -4396.400, 281.887",굶주린 스컬지 트롤 (26570),"4530.450, -2217.350, 169.775","4530.450, -2207.350, 169.775","4530.450, -2227.350, 169.775"
4372,노스렌드,줄드락,졸마즈 요새,상위지역 경계 대체,66,되살아난 시체 (29897),"5745.640, -2214.740, 237.548","5745.640, -2204.740, 237.548","5745.640, -2224.740, 237.548",산악 야생마 (26472),"5084.860, -4386.400, 281.887","5084.860, -4376.400, 281.887","5084.860, -4396.400, 281.887",굶주린 스컬지 트롤 (26570),"4530.450, -2217.350, 169.775","4530.450, -2207.350, 169.775","4530.450, -2227.350, 169.775"
4373,노스렌드,줄드락,졸헤브,상위지역 경계 대체,66,되살아난 시체 (29897),"5745.640, -2214.740, 237.548","5745.640, -2204.740, 237.548","5745.640, -2224.740, 237.548",산악 야생마 (26472),"5084.860, -4386.400, 281.887","5084.860, -4376.400, 281.887","5084.860, -4396.400, 281.887",굶주린 스컬지 트롤 (26570),"4530.450, -2217.350, 169.775","4530.450, -2207.350, 169.775","4530.450, -2227.350, 169.775"
4374,노스렌드,줄드락,성난발톱 호수,상위지역 경계 대체,66,되살아난 시체 (29897),"5745.640, -2214.740, 237.548","5745.640, -2204.740, 237.548","5745.640, -2224.740, 237.548",산악 야생마 (26472),"5084.860, -4386.400, 281.887","5084.860, -4376.400, 281.887","5084.860, -4396.400, 281.887",굶주린 스컬지 트롤 (26570),"4530.450, -2217.350, 169.775","4530.450, -2207.350, 169.775","4530.450, -2227.350, 169.775"
4375,노스렌드,줄드락,군드락,상위지역 경계 대체,66,되살아난 시체 (29897),"5745.640, -2214.740, 237.548","5745.640, -2204.740, 237.548","5745.640, -2224.740, 237.548",산악 야생마 (26472),"5084.860, -4386.400, 281.887","5084.860, -4376.400, 281.887","5084.860, -4396.400, 281.887",굶주린 스컬지 트롤 (26570),"4530.450, -2217.350, 169.775","4530.450, -2207.350, 169.775","4530.450, -2227.350, 169.775"
4376,노스렌드,숄라자르 분지,야만의 숲,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4377,칠흑의 요새,동부 역병지대: 붉은십자군 초소,신 아발론 대장간,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4379,노스렌드,울부짖는 협만,발가드,상위지역 경계 대체,495,뾰족엄니 (23690),"1223.380, -4393.920, 159.790","1223.380, -4383.920, 159.790","1223.380, -4403.920, 159.790",새끼 뾰족엄니 (24791),"1182.580, -4437.890, 170.242","1182.580, -4427.890, 170.242","1182.580, -4447.890, 170.242",수컷 뾰족엄니 (23691),"1222.560, -4382.410, 158.040","1222.560, -4372.410, 158.040","1222.560, -4392.410, 158.040"
4380,노스렌드,울부짖는 협만,서부경비대 여관,상위지역 경계 대체,495,뾰족엄니 (23690),"1223.380, -4393.920, 159.790","1223.380, -4383.920, 159.790","1223.380, -4403.920, 159.790",새끼 뾰족엄니 (24791),"1182.580, -4437.890, 170.242","1182.580, -4427.890, 170.242","1182.580, -4447.890, 170.242",수컷 뾰족엄니 (23691),"1222.560, -4382.410, 158.040","1222.560, -4372.410, 158.040","1222.560, -4392.410, 158.040"
4381,칼림도어,운고로 분화구,차원문,상위지역 경계 대체,490,칼날가시 붉은꽃잎덩굴손 (6510),"-7450.560, -1367.240, -267.996","-7450.560, -1357.240, -267.996","-7450.560, -1377.240, -267.996",광포한 테러닥스 (9167),"-7248.710, -988.150, -271.454","-7248.710, -978.150, -271.454","-7248.710, -998.150, -271.454",덩치 큰 디메트로돈 (9164),"-7119.090, -1050.620, -272.131","-7119.090, -1040.620, -272.131","-7119.090, -1060.620, -272.131"
4382,칼림도어,운고로 분화구,구체자의 정원,상위지역 경계 대체,490,칼날가시 붉은꽃잎덩굴손 (6510),"-7450.560, -1367.240, -267.996","-7450.560, -1357.240, -267.996","-7450.560, -1377.240, -267.996",광포한 테러닥스 (9167),"-7248.710, -988.150, -271.454","-7248.710, -978.150, -271.454","-7248.710, -998.150, -271.454",덩치 큰 디메트로돈 (9164),"-7119.090, -1050.620, -272.131","-7119.090, -1040.620, -272.131","-7119.090, -1060.620, -272.131"
4383,노스렌드,숄라자르 분지,호반의 착륙장,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4385,노스렌드,숄라자르 분지,거센물결 호수,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4386,노스렌드,숄라자르 분지,구름몰이 여울목,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4387,노스렌드,숄라자르 분지,광란의심장 강,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4388,노스렌드,숄라자르 분지,겨울손아귀 강,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4389,노스렌드,숄라자르 분지,해마루 봉우리,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4390,노스렌드,줄드락,얼어붙은 틈,상위지역 경계 대체,66,되살아난 시체 (29897),"5745.640, -2214.740, 237.548","5745.640, -2204.740, 237.548","5745.640, -2224.740, 237.548",산악 야생마 (26472),"5084.860, -4386.400, 281.887","5084.860, -4376.400, 281.887","5084.860, -4396.400, 281.887",굶주린 스컬지 트롤 (26570),"4530.450, -2217.350, 169.775","4530.450, -2207.350, 169.775","4530.450, -2227.350, 169.775"
4391,노스렌드,숄라자르 분지,스윈들그린의 채굴현장,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4392,노스렌드,숄라자르 분지,폭풍전령 바위,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4393,노스렌드,숄라자르 분지,죽음의 손 야영지,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4394,칠흑의 요새,동부 역병지대: 붉은십자군 초소,붉은십자군 선술집,상위지역 경계 대체,4298,붉은십자군 함대 수호병 (28834),"2114.340, -6070.870, 5.011","2114.340, -6060.870, 5.011","2114.340, -6080.870, 5.011",하스글렌 성전사 (29102),"2147.330, -5708.850, 102.006","2147.330, -5698.850, 102.006","2147.330, -5718.850, 102.006",십자군 성전사 (28529),"1799.960, -5739.470, 141.191","1799.960, -5729.470, 141.191","1799.960, -5749.470, 141.191"
4395,노스렌드,,달라란,없음,,없음,,,,없음,,,,없음,,,
4396,노스렌드,용의 안식처,녹주둥이 전초기지,상위지역 경계 대체,65,눈사태 숲 사슴 (26615),"3572.370, 1110.300, 148.846","3572.370, 1120.300, 148.846","3572.370, 1100.300, 148.846",굶주린 망자 (27290),"3528.940, -1069.420, 127.462","3528.940, -1059.420, 127.462","3528.940, -1079.420, 127.462",용뼈 대머리수리 (26483),"3567.510, 755.088, 98.581","3567.510, 765.088, 98.581","3567.510, 745.088, 98.581"
4399,노스렌드,북풍의 땅,파샤이어 광산,상위지역 경계 대체,3537,습지대 순록 (25680),"2808.650, 5416.670, 61.032","2808.650, 5426.670, 61.032","2808.650, 5406.670, 61.032",새끼 털북숭이 코뿔소 (25488),"3262.210, 5892.360, 92.588","3262.210, 5902.360, 92.588","3262.210, 5882.360, 92.588",새끼 매머드 (24613),"3297.080, 5451.910, 54.287","3297.080, 5461.910, 54.287","3297.080, 5441.910, 54.287"
4400,노스렌드,숄라자르 분지,이끼빛 봉우리,상위지역 경계 대체,3711,조종 당하는 영웅 (32255),"7025.310, 2977.780, 447.827","7025.310, 2987.780, 447.827","7025.310, 2967.780, 447.827",동상에 파인 시체 (28220),"6214.420, 4127.330, -11.419","6214.420, 4137.330, -11.419","6214.420, 4117.330, -11.419",설맹 구울 (28218),"6227.580, 4140.940, -10.585","6227.580, 4150.940, -10.585","6227.580, 4130.940, -10.585"
4401,노스렌드,북풍의 땅,사라고사의 영지,상위지역 경계 대체,3537,습지대 순록 (25680),"2808.650, 5416.670, 61.032","2808.650, 5426.670, 61.032","2808.650, 5406.670, 61.032",새끼 털북숭이 코뿔소 (25488),"3262.210, 5892.360, 92.588","3262.210, 5902.360, 92.588","3262.210, 5882.360, 92.588",새끼 매머드 (24613),"3297.080, 5451.910, 54.287","3297.080, 5461.910, 54.287","3297.080, 5441.910, 54.287"
4402,노스렌드,울부짖는 협만,복수의 승강장,상위지역 경계 대체,495,뾰족엄니 (23690),"1223.380, -4393.920, 159.790","1223.380, -4383.920, 159.790","1223.380, -4403.920, 159.790",새끼 뾰족엄니 (24791),"1182.580, -4437.890, 170.242","1182.580, -4427.890, 170.242","1182.580, -4447.890, 170.242",수컷 뾰족엄니 (23691),"1222.560, -4382.410, 158.040","1222.560, -4372.410, 158.040","1222.560, -4392.410, 158.040"
4403,노스렌드,울부짖는 협만,베일야르 감시초소,상위지역 경계 대체,495,뾰족엄니 (23690),"1223.380, -4393.920, 159.790","1223.380, -4383.920, 159.790","1223.380, -4403.920, 159.790",새끼 뾰족엄니 (24791),"1182.580, -4437.890, 170.242","1182.580, -4427.890, 170.242","1182.580, -4447.890, 170.242",수컷 뾰족엄니 (23691),"1222.560, -4382.410, 158.040","1222.560, -4372.410, 158.040","1222.560, -4392.410, 158.040"
4404,노스렌드,울부짖는 협만,신 아가만드 여관,상위지역 경계 대체,495,뾰족엄니 (23690),"1223.380, -4393.920, 159.790","1223.380, -4383.920, 159.790","1223.380, -4403.920, 159.790",새끼 뾰족엄니 (24791),"1182.580, -4437.890, 170.242","1182.580, -4427.890, 170.242","1182.580, -4447.890, 170.242",수컷 뾰족엄니 (23691),"1222.560, -4382.410, 158.040","1222.560, -4372.410, 158.040","1222.560, -4392.410, 158.040"
